name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Álex Abrines,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,41,127,12,13,5,43,20,17,6,14,53,165,2019,0.357,31,WC,0.6451612903225806,1.4285714285714286
Quincy Acy,POWER FORWARD,28,PHOENIX SUNS,2,15,7,10,3,22,8,1,4,4,24,17,2019,0.222,10,WC,0.8,2.0
Jaylen Adams,POINT GUARD,22,ATLANTA HAWKS,25,74,7,9,11,49,65,14,5,28,45,108,2019,0.345,34,EC,1.911764705882353,2.3214285714285716
Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,0,2,146,292,391,369,124,117,76,135,204,1108,2019,0.595,80,WC,1.55,0.9185185185185185
Bam Adebayo,CENTER,21,MIAMI HEAT,3,15,166,226,165,432,184,71,65,121,203,729,2019,0.576,82,EC,2.2439024390243905,1.5206611570247934
Deng Adel,SMALL FORWARD,21,CLEVELAND CAVALIERS,6,23,4,4,3,16,5,1,4,6,13,32,2019,0.306,19,EC,0.2631578947368421,0.8333333333333334
DeVaughn Akoon-Purcell,SHOOTING GUARD,25,DENVER NUGGETS,0,4,1,2,1,3,6,2,0,2,4,7,2019,0.3,7,WC,0.8571428571428571,3.0
LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,10,42,349,412,251,493,194,43,107,144,179,1727,2019,0.519,81,WC,2.3950617283950617,1.3472222222222223
Rawle Alkins,SHOOTING GUARD,21,CHICAGO BULLS,3,12,8,12,11,15,13,1,0,8,7,37,2019,0.333,10,EC,1.3,1.625
Grayson Allen,SHOOTING GUARD,23,UTAH JAZZ,32,99,45,60,3,20,25,6,6,33,47,211,2019,0.376,38,WC,0.6578947368421053,0.7575757575757576
Jarrett Allen,CENTER,20,BROOKLYN NETS,6,45,197,278,191,481,110,43,120,103,184,873,2019,0.59,80,EC,1.375,1.0679611650485437
Kadeem Allen,POINT GUARD,26,NEW YORK KNICKS,17,36,42,54,8,43,76,16,4,26,46,189,2019,0.461,19,EC,4.0,2.923076923076923
Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,96,280,150,173,112,498,104,68,33,72,143,760,2019,0.433,81,WC,1.2839506172839505,1.4444444444444444
Justin Anderson,SMALL FORWARD,25,ATLANTA HAWKS,24,77,26,35,24,60,23,22,13,23,48,178,2019,0.408,48,EC,0.4791666666666667,1.0
