team,Year,conferences,attempted_three_point_field_goals,made_three_point_field_goals,Success Rate
BOSTON CELTICS,2001,EC,1667,599,35.93281343731254
BOSTON CELTICS,2002,EC,2514,889,35.361972951471756
BOSTON CELTICS,2003,EC,2487,831,33.41375150784077
BOSTON CELTICS,2004,EC,2589,921,35.573580533024334
BOSTON CELTICS,2005,EC,1776,611,34.403153153153156
BOSTON CELTICS,2006,EC,1802,647,35.90455049944506
BOSTON CELTICS,2007,EC,1283,471,36.710833982852684
BOSTON CELTICS,2008,EC,1608,614,38.18407960199005
BOSTON CELTICS,2009,EC,1355,538,39.70479704797048
BOSTON CELTICS,2010,EC,2041,743,36.403723664870164
BOSTON CELTICS,2011,EC,1637,577,35.247403787416005
BOSTON CELTICS,2012,EC,988,363,36.74089068825911
BOSTON CELTICS,2013,EC,1544,546,35.362694300518136
BOSTON CELTICS,2014,EC,2417,829,34.29871741828713
BOSTON CELTICS,2015,EC,3560,1182,33.20224719101124
BOSTON CELTICS,2016,EC,2144,717,33.44216417910448
BOSTON CELTICS,2017,EC,2742,985,35.922684172137124
BOSTON CELTICS,2018,EC,2494,939,37.650360866078586
BOSTON CELTICS,2019,EC,2829,1032,36.47932131495228
BOSTON CELTICS,2020,EC,2487,905,36.389223964616
BOSTON CELTICS,2021,EC,3264,1227,37.591911764705884
BOSTON CELTICS,2022,EC,3044,1085,35.64388961892247
CLEVELAND CAVALIERS,2001,EC,749,242,32.30974632843792
CLEVELAND CAVALIERS,2002,EC,1026,387,37.719298245614034
CLEVELAND CAVALIERS,2003,EC,946,307,32.45243128964059
CLEVELAND CAVALIERS,2004,EC,1583,493,31.143398610233735
CLEVELAND CAVALIERS,2005,EC,926,304,32.82937365010799
CLEVELAND CAVALIERS,2006,EC,1626,541,33.27183271832718
CLEVELAND CAVALIERS,2007,EC,1404,494,35.18518518518518
CLEVELAND CAVALIERS,2008,EC,2339,821,35.1004702864472
CLEVELAND CAVALIERS,2009,EC,1676,658,39.26014319809069
CLEVELAND CAVALIERS,2010,EC,1767,662,37.46462931522354
CLEVELAND CAVALIERS,2011,EC,2384,786,32.969798657718115
CLEVELAND CAVALIERS,2012,EC,1621,544,33.55953115360889
CLEVELAND CAVALIERS,2013,EC,2037,705,34.609720176730484
CLEVELAND CAVALIERS,2014,EC,2338,840,35.92814371257485
