name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Jason Kidd,POINT GUARD,27,PHOENIX SUNS,69,232,328,403,91,403,753,166,23,286,171,1299,2001,,77,WC,9.779220779220779,2.632867132867133
John Stockton,POINT GUARD,38,UTAH JAZZ,61,132,227,278,54,173,713,132,21,203,194,944,2001,,82,WC,8.695121951219512,3.5123152709359604
Mike Bibby,POINT GUARD,22,VANCOUVER GRIZZLIES,108,285,143,188,47,257,685,107,12,248,148,1301,2001,0.454,82,Unknown,8.353658536585366,2.7620967741935485
Andre Miller,POINT GUARD,24,CLEVELAND CAVALIERS,17,64,375,450,94,266,657,119,28,265,229,1296,2001,0.452,82,EC,8.012195121951219,2.479245283018868
Gary Payton,POINT GUARD,32,SEATTLE SUPERSONICS,102,272,271,354,73,288,642,127,26,209,184,1823,2001,,79,Unknown,8.126582278481013,3.0717703349282295
Nick Van Exel,POINT GUARD,29,DENVER NUGGETS,135,358,204,249,44,197,600,61,18,165,109,1259,2001,0.414,71,WC,8.450704225352112,3.6363636363636362
Baron Davis,POINT GUARD,21,CHARLOTTE HORNETS,85,274,228,337,129,279,598,170,36,226,267,1131,2001,0.427,82,EC,7.2926829268292686,2.646017699115044
Terrell Brandon,POINT GUARD,30,MINNESOTA TIMBERWOLVES,33,91,195,224,60,238,583,161,21,155,138,1250,2001,0.451,78,WC,7.4743589743589745,3.761290322580645
Sam Cassell,POINT GUARD,31,MILWAUKEE BUCKS,30,98,277,323,46,244,580,88,8,220,214,1381,2001,0.474,76,EC,7.631578947368421,2.6363636363636362
Darrell Armstrong,POINT GUARD,32,ORLANDO MAGIC,143,403,220,249,94,249,524,135,13,200,155,1189,2001,0.412,75,EC,6.986666666666666,2.62
Andre Miller,POINT GUARD,25,CLEVELAND CAVALIERS,22,87,365,447,108,271,882,126,34,245,228,1335,2002,0.454,81,EC,10.88888888888889,3.6
Jason Kidd,POINT GUARD,28,NEW JERSEY NETS,117,364,201,247,130,465,808,175,20,286,136,1208,2002,,82,Unknown,9.853658536585366,2.825174825174825
Gary Payton,POINT GUARD,33,SEATTLE SUPERSONICS,74,236,267,335,80,316,737,131,26,209,179,1815,2002,,82,Unknown,8.987804878048781,3.526315789473684
Baron Davis,POINT GUARD,22,CHARLOTTE HORNETS,170,478,196,338,93,256,698,172,47,246,241,1484,2002,0.417,82,EC,8.512195121951219,2.83739837398374
John Stockton,POINT GUARD,39,UTAH JAZZ,25,78,275,321,59,204,674,152,24,208,209,1102,2002,,82,WC,8.21951219512195,3.2403846153846154
Stephon Marbury,POINT GUARD,24,PHOENIX SUNS,71,248,353,452,75,191,666,77,13,284,186,1674,2002,0.442,82,WC,8.121951219512194,2.3450704225352115
Jamaal Tinsley,POINT GUARD,23,INDIANA PACERS,42,175,131,186,78,220,647,138,40,270,248,751,2002,0.38,80,EC,8.0875,2.3962962962962964
Steve Nash,POINT GUARD,27,DALLAS MAVERICKS,156,343,260,293,50,204,634,53,4,229,164,1466,2002,,82,WC,7.7317073170731705,2.7685589519650655
Mark Jackson,POINT GUARD,36,NEW YORK KNICKS,79,195,87,110,56,253,605,74,1,150,162,686,2002,0.439,82,EC,7.378048780487805,4.033333333333333
Jason Williams,POINT GUARD,26,MEMPHIS GRIZZLIES,127,430,80,101,22,173,519,111,7,214,102,959,2002,0.382,65,WC,7.984615384615385,2.425233644859813
Jason Kidd,POINT GUARD,29,NEW JERSEY NETS,126,370,339,403,110,394,711,179,25,296,127,1495,2003,,80,Unknown,8.8875,2.402027027027027
Stephon Marbury,POINT GUARD,25,PHOENIX SUNS,89,296,375,467,53,210,654,108,20,263,200,1806,2003,0.439,81,WC,8.074074074074074,2.4866920152091256
Jason Williams,POINT GUARD,27,MEMPHIS GRIZZLIES,143,404,110,131,25,187,631,91,10,168,130,919,2003,0.388,76,WC,8.302631578947368,3.755952380952381
John Stockton,POINT GUARD,40,UTAH JAZZ,29,80,237,287,51,150,629,137,16,182,184,884,2003,,82,WC,7.670731707317073,3.456043956043956
Jason Terry,POINT GUARD,25,ATLANTA HAWKS,160,431,259,292,37,242,600,126,14,249,175,1395,2003,0.428,81,EC,7.407407407407407,2.4096385542168677
Steve Nash,POINT GUARD,28,DALLAS MAVERICKS,111,269,308,339,63,171,598,85,6,192,134,1455,2003,,82,WC,7.2926829268292686,3.1145833333333335
Jamaal Tinsley,POINT GUARD,24,INDIANA PACERS,46,166,80,112,58,202,548,125,18,192,201,566,2003,0.396,73,EC,7.506849315068493,2.8541666666666665
Eric Snow,POINT GUARD,29,PHILADELPHIA 76ERS,7,32,325,379,71,230,544,133,11,194,235,1054,2003,0.452,82,EC,6.634146341463414,2.804123711340206
Andre Miller,POINT GUARD,26,LOS ANGELES CLIPPERS,23,108,311,391,84,232,537,99,11,206,203,1088,2003,0.406,80,Unknown,6.7125,2.6067961165048543
Gilbert Arenas,POINT GUARD,21,GOLDEN STATE WARRIORS,109,313,370,468,97,289,514,124,17,290,260,1497,2003,0.431,82,WC,6.2682926829268295,1.7724137931034483
Steve Nash,POINT GUARD,29,DALLAS MAVERICKS,104,257,230,251,59,173,687,67,8,209,139,1128,2004,,78,WC,8.807692307692308,3.287081339712919
Jason Kidd,POINT GUARD,30,NEW JERSEY NETS,94,293,206,249,85,343,618,122,14,214,110,1036,2004,,67,Unknown,9.223880597014926,2.8878504672897196
Sam Cassell,POINT GUARD,34,MINNESOTA TIMBERWOLVES,74,186,289,331,44,227,592,102,18,220,247,1603,2004,0.488,81,WC,7.308641975308642,2.690909090909091
